SeniorCitizen,PropertyValue,tenure,PhoneService,MonthlyCharges,TotalCharges
1,254,1,No,40.2,40.2
0,255,32,Yes,83.7,2633.3
0,256,10,Yes,19.85,193.05
0,257,67,No,59.55,4103.9
0,258,61,Yes,115.1,7008.15
0,259,50,Yes,114.35,5791.1
0,260,2,Yes,44.6,80.55
1,261,29,No,45,1228.65
1,262,3,No,41.15,132.2
1,263,13,Yes,106.9,1364.3
1,264,57,Yes,89.85,4925.35
0,265,31,No,49.85,1520.1
0,266,45,Yes,113.3,5032.25
0,267,61,Yes,88.1,5526.75
0,268,50,Yes,24.9,1195.25
1,269,19,Yes,105,2007.25
0,270,59,Yes,19.35,1099.6
0,271,71,Yes,24.25,1732.95
1,272,16,Yes,94.45,1511.2
0,273,57,Yes,59.75,3450.15
0,274,1,No,24.8,24.8
1,275,20,Yes,107.05,2172.05
0,276,1,Yes,70.6,70.6
0,277,5,Yes,85.4,401.1
0,278,52,Yes,105.05,5624.85
1,279,21,Yes,64.95,1339.8
0,280,14,No,55,771.95
0,281,5,Yes,50.55,244.75
0,282,6,Yes,55.15,322.9
0,283,10,Yes,51.2,498.25
0,284,1,Yes,25.4,25.4
0,285,68,Yes,54.45,3687.75
0,286,18,Yes,95.15,1779.95
0,287,22,Yes,76,1783.6
0,288,20,Yes,44.35,927.15
0,289,1,Yes,70,70
1,290,8,Yes,74.5,606.55
0,291,10,Yes,44.85,435.4
1,292,24,Yes,76.1,1712.7
0,293,35,Yes,61.2,2021.2
0,294,23,Yes,86.8,1940.8
1,295,6,Yes,89.35,567.8
0,296,12,Yes,19.7,220.35
0,297,1,Yes,20.25,20.25
0,298,71,Yes,76.05,5436.45
1,299,35,Yes,100.8,3437.5
0,300,40,Yes,74.55,3015.75
0,301,1,Yes,73.6,73.6
0,302,23,Yes,64.9,1509.8
1,303,4,Yes,95.45,396.1
0,304,4,Yes,90.4,356.65
0,305,68,No,60.3,4109
0,306,38,Yes,81.85,3141.7
0,307,52,Yes,24.8,1229.1
1,308,32,Yes,74.9,2303.35
0,309,29,Yes,75.55,2054.4
1,310,38,Yes,101.15,3741.85
0,311,48,Yes,78.75,3682.45
0,312,1,Yes,19.25,19.25
0,313,22,Yes,89.05,1886.25
0,314,43,Yes,115.05,4895.1
1,315,5,Yes,69.35,341.6
0,316,5,Yes,80.6,415.55
0,317,51,Yes,110.05,5686.4
0,318,71,Yes,19.9,1355.1
0,319,38,Yes,80.3,3058.65
1,320,24,Yes,93.15,2231.05
0,321,35,Yes,91.5,3236.35
1,322,54,Yes,82.45,4350.1
0,323,72,No,60,4264
0,324,1,Yes,44.8,44.8
0,325,9,Yes,48.6,422.3
0,326,69,No,60.05,4176.7
0,327,52,Yes,102.7,5138.1
1,328,11,Yes,82.9,880.05
1,329,2,Yes,70.35,139.05
1,330,28,No,35.9,973.65
1,331,17,Yes,82.65,1470.05
0,332,35,Yes,19.85,739.35
0,333,8,Yes,19.2,161.95
0,334,46,Yes,94.9,4422.95
0,335,7,Yes,73.85,511.25
0,336,2,Yes,80.6,155.8
0,337,68,Yes,75.8,5293.95
0,338,43,Yes,104.6,4759.85
0,339,68,Yes,88.15,6148.45
0,340,36,Yes,94.8,3565.65
0,341,63,Yes,103.4,6603
1,342,32,Yes,54.65,1830.1
0,343,71,Yes,85.75,6223.8
0,344,66,Yes,67.45,4508.65
0,345,63,Yes,20.5,1328.15
0,346,41,Yes,20.25,865
1,347,1,Yes,72.1,72.1
0,348,2,Yes,90.4,168.2
0,349,70,Yes,19.45,1303.5
0,350,23,No,44.95,996.85
1,351,64,Yes,97,6430.9
0,352,37,Yes,62.8,2278.75
0,353,17,Yes,44.6,681.4
1,354,7,Yes,89.15,574.35
0,355,4,Yes,84.8,371.9
1,356,21,No,41.9,840.1
0,357,10,Yes,80.25,846
1,358,16,Yes,54.1,889
0,359,64,Yes,105.25,6823.4
1,360,27,No,30.75,805.1
0,361,42,Yes,97.1,4016.75
0,362,5,Yes,20.2,83.75
0,363,41,Yes,98.8,3959.15
0,364,58,Yes,50.3,2878.55
0,365,47,Yes,20.55,945.7
0,366,18,Yes,75.9,1373.05
0,367,5,Yes,96.5,492.55
0,368,23,Yes,59.95,1406
0,369,1,Yes,19.15,19.15
0,370,71,Yes,98.65,6962.85
0,371,72,Yes,112.6,8126.65
0,372,33,Yes,20.6,690.25
0,373,2,Yes,85.65,181.5
0,374,24,No,35.75,830.8
0,375,56,Yes,99.75,5608.4
0,376,37,Yes,96.1,3646.8
0,377,43,Yes,85.1,3662.25
0,378,1,No,25.35,25.35
0,379,25,Yes,104.95,2566.5
0,380,61,Yes,89.65,5308.7
0,381,17,Yes,86.75,1410.25
0,382,41,Yes,86.2,3339.05
0,383,1,Yes,50.65,50.65
1,384,72,No,64.8,4732.35
0,385,1,Yes,90.85,90.85
0,386,48,Yes,108.1,5067.45
1,387,11,Yes,19.95,214.75
1,388,55,Yes,85.45,4874.7
0,389,42,No,54.75,2348.45
0,390,44,Yes,90.4,4063
0,391,1,Yes,44,44
0,392,27,Yes,95.6,2595.25
1,393,27,Yes,84.8,2309.55
1,394,2,Yes,44.3,89.3
0,395,19,Yes,19.9,367.55
1,396,42,Yes,95.05,3944.5
0,397,66,Yes,90.05,5965.95
1,398,33,Yes,109.9,3694.7
0,399,34,Yes,73.95,2524.45
1,400,33,No,54.6,1803.7
0,401,23,Yes,20.05,415.1
0,402,32,Yes,19.75,624.15
0,403,11,Yes,20.05,237.7
0,404,69,Yes,99.45,7007.6
0,405,68,Yes,55.9,3848.8
0,406,20,Yes,19.7,419.4
0,407,72,Yes,19.8,1468.75
0,408,60,Yes,95.4,5812
1,409,32,Yes,93.95,2861.45
0,410,1,Yes,19.9,19.9
0,411,1,Yes,19.6,19.6
1,412,3,Yes,81.35,233.7
0,413,46,Yes,24.45,1066.15
0,414,29,Yes,74.95,2149.05
0,415,51,Yes,87.35,4473
1,416,48,Yes,70.65,3545.05
0,417,16,Yes,73.25,1195.75
0,418,70,Yes,98.7,6858.9
0,419,40,Yes,24.8,1024.7
0,420,22,Yes,83.3,1845.9
1,421,1,Yes,75.3,75.3
0,422,5,Yes,24.3,132.25
0,423,7,Yes,69.85,515.45
0,424,29,Yes,100.55,2830.45
0,425,44,Yes,25.7,1110.5
0,426,10,No,40.7,449.3
1,427,55,Yes,51.65,2838.55
1,428,52,Yes,105.1,5376.4
0,429,10,Yes,85.95,858.6
0,430,18,Yes,75.6,1395.05
0,431,68,Yes,58.25,3975.7
0,432,61,Yes,19.4,1182.55
0,433,72,No,65.2,4784.45
0,434,2,Yes,53.45,119.5
0,435,12,Yes,45.4,518.9
0,436,41,Yes,19.75,899.45
0,437,26,No,44.45,1183.8
0,438,36,Yes,20.85,720.05
0,439,72,Yes,114.05,8468.2
0,440,35,Yes,89.85,3161.2
0,441,1,Yes,55.05,55.05
0,442,16,Yes,112.95,1882.55
1,443,49,Yes,101.55,5070.4
0,444,54,Yes,114.65,6049.5
0,445,18,Yes,64.8,1166.7
0,446,36,Yes,80.4,2937.65
0,447,60,Yes,105.9,6396.45
0,448,1,Yes,69.55,69.55
0,449,52,Yes,25.05,1270.25
0,450,8,Yes,94.75,759.55
0,451,72,Yes,105.5,7611.55
0,452,64,Yes,24.7,1642.75
1,453,22,Yes,69.75,1545.4
0,454,60,No,60.2,3582.4
0,455,28,Yes,81.05,2227.1
0,456,61,Yes,24.4,1417.9
0,457,24,Yes,104.15,2494.65
0,458,28,Yes,92.9,2768.35
0,459,30,Yes,80.8,2369.3
0,460,2,Yes,20,38
0,461,1,Yes,75.1,75.1
0,462,6,Yes,19.65,100.9
0,463,24,Yes,69.45,1614.05
0,464,4,Yes,101.15,385.9
0,465,7,Yes,99.8,673.25
1,466,72,Yes,116.05,8404.9
0,467,70,No,40.05,2799.75
1,468,64,Yes,102.1,6538.45
0,469,72,Yes,89.7,6588.95
0,470,44,Yes,19.9,868.1
0,471,13,Yes,55.95,734.35
1,472,17,Yes,20.65,330.6
0,473,1,Yes,55,55
0,474,9,Yes,70.05,564.4
0,475,24,Yes,53.6,1315.35
0,476,1,Yes,74.7,74.7
0,477,24,Yes,80.25,1861.5
1,478,35,Yes,76.05,2747.2
0,479,7,Yes,75.7,554.05
0,480,5,Yes,96.1,453.4
0,481,15,Yes,69,994.8
0,482,11,Yes,19.65,225.75
0,483,48,No,45.3,2145
1,484,20,Yes,81.45,1671.6
0,485,72,Yes,108.5,8003.8
0,486,8,Yes,83.55,680.05
0,487,72,Yes,84.5,6130.85
0,488,15,Yes,100.15,1415
0,489,72,Yes,88.6,6201.95
0,490,1,Yes,74.35,74.35
0,491,63,Yes,104.8,6597.25
0,492,2,Yes,59,114.15
0,493,2,Yes,74.4,139.4
1,494,61,Yes,64.05,3902.6
0,495,1,Yes,20.4,20.4
0,496,22,No,43.75,903.6
0,497,28,Yes,60.9,1785.65
0,498,70,Yes,19.8,1397.65
1,499,5,No,28.45,131.05
0,500,12,Yes,99.7,1238.45
0,501,34,Yes,116.25,3899.05
1,502,71,Yes,80.7,5676
0,503,70,Yes,65.2,4543.15
0,504,52,Yes,84.05,4326.8
0,505,69,Yes,79.45,5502.55
1,506,20,Yes,94.1,1782.4
0,507,11,Yes,78,851.8
0,508,2,Yes,94.2,167.5
0,509,6,Yes,80.5,502.85
0,510,1,Yes,19.85,19.85
1,511,20,Yes,94.3,1818.3
0,512,61,Yes,106.45,6300.15
1,513,5,Yes,74.35,334.8
0,514,56,Yes,105.45,5916.95
0,515,30,Yes,95,2852.4
0,516,40,Yes,104.8,4131.95
0,517,28,Yes,54.3,1546.3
1,518,5,Yes,70.05,302.6
1,519,27,Yes,75.2,1929.35
0,520,12,Yes,20.05,265.45
0,521,67,Yes,105.4,6989.45
1,522,29,Yes,51.6,1442
0,523,55,Yes,85.5,4713.4
0,524,23,Yes,75.6,1758.6
0,525,34,Yes,100.05,3480
0,526,52,Yes,91.25,4738.3
1,527,72,Yes,115.75,8399.15
0,528,58,Yes,94.7,5430.35
0,529,35,Yes,19.6,686.95
1,530,56,Yes,99.9,5706.3
0,531,24,Yes,21.1,490.65
0,532,70,Yes,20.05,1360.25
0,533,2,Yes,79.95,174.45
1,534,68,Yes,107.15,7379.8
0,535,1,Yes,85,85
0,536,12,Yes,89.55,1021.75
0,537,63,Yes,81.55,5029.05
0,538,33,Yes,58.45,1955.4
0,539,69,Yes,95.65,6744.2
0,540,60,Yes,80.6,4946.7
0,541,72,Yes,113.1,8248.5
0,542,11,Yes,58.95,601.6
0,543,1,Yes,19.55,19.55
0,544,10,Yes,86.05,834.1
0,545,13,No,45.55,597
0,546,34,Yes,78.95,2647.2
0,547,39,Yes,86.3,3266
0,548,65,Yes,105.05,6744.25
1,549,50,Yes,101.9,5265.5
0,550,15,Yes,19.75,311.6
0,551,72,Yes,110.3,7966.9
0,552,72,Yes,115.6,8220.4
0,553,55,Yes,19.35,1153.25
0,554,23,Yes,25.6,514.75
0,555,32,Yes,80.35,2596.15
0,556,56,Yes,68.75,3808
0,557,1,Yes,19.9,19.9
0,558,38,Yes,70.6,2708.2
0,559,11,Yes,70.2,760.05
0,560,1,Yes,49.3,49.3
0,561,56,Yes,107.25,6033.3
0,562,3,Yes,23.6,89.05
0,563,7,Yes,69.7,516.15
0,564,59,Yes,99.5,5861.75
0,565,7,Yes,64.3,445.95
0,566,71,Yes,70.85,4973.4
0,567,15,Yes,101.9,1667.25
0,568,71,Yes,73.5,5357.75
0,569,35,Yes,100.25,3527.6
0,570,11,No,40.4,422.6
0,571,60,Yes,19.25,1103.25
1,572,47,Yes,59.6,2754
0,573,11,Yes,64.9,697.25
0,574,56,Yes,100.3,5614.45
1,575,28,Yes,110.85,3204.4
0,576,61,Yes,81.05,4747.65
0,577,31,Yes,98.05,3082.1
0,578,9,Yes,70.5,597.9
1,579,35,Yes,94.55,3365.4
0,580,2,Yes,19.65,38.8
0,581,12,Yes,19,233.55
0,582,1,Yes,75.3,75.3
1,583,4,Yes,89.2,346.2
0,584,1,Yes,19,19
0,585,3,Yes,20,61.7
1,586,1,Yes,85.7,85.7
0,587,52,Yes,63.25,3342.45
0,588,5,Yes,20.1,85.1
0,589,72,Yes,99.15,7422.1
0,590,71,Yes,90.4,6668.05
0,591,72,Yes,111.9,8071.05
0,592,46,Yes,24.9,1174.8
0,593,63,Yes,83.5,5435
0,594,30,Yes,84.3,2438.6
0,595,1,Yes,45.6,45.6
0,596,12,Yes,61.65,713.75
0,597,16,No,54.85,916.15
0,598,4,Yes,65.55,237.2
0,599,51,Yes,90.35,4614.55
0,600,65,Yes,20.4,1414.45
0,601,16,Yes,74.55,1170.5
0,602,2,Yes,19.95,47.7
0,603,66,Yes,74.25,4859.25
0,604,46,Yes,108.65,4903.2
0,605,32,Yes,109.55,3608
0,606,72,Yes,86.65,6094.25
0,607,38,Yes,81,3084.9
0,608,51,Yes,47.85,2356.75
0,609,72,Yes,114.55,8306.05
1,610,65,Yes,105.25,6786.4
0,611,9,No,29.95,248.95
0,612,9,Yes,65,663.05
0,613,66,Yes,20.55,1357.1
1,614,44,Yes,109.8,4860.35
0,615,50,Yes,69.5,3418.2
0,616,15,Yes,48.85,631.4
0,617,8,No,25.25,186.3
1,618,66,Yes,102.85,6976.75
0,619,57,Yes,87.55,4884.85
0,620,7,Yes,78.55,522.95
1,621,10,No,34.55,362.6
0,622,62,Yes,92.05,5755.8
0,623,40,Yes,85.05,3355.65
0,624,20,Yes,19.7,406.95
0,625,7,Yes,20,137.6
0,626,25,Yes,95.15,2395.7
0,627,23,Yes,84.25,1968.1
1,628,66,Yes,104.6,6819.45
1,629,72,Yes,111.65,7943.45
1,630,49,Yes,90.05,4547.25
1,631,43,Yes,110.75,4687.9
0,632,46,Yes,55,2473.95
0,633,72,Yes,89.85,6562.9
0,634,10,Yes,20.35,176.3
0,635,40,No,54.55,2236.2
0,636,65,Yes,105.5,6985.65
0,637,31,Yes,99.45,3109.9
0,638,68,Yes,70.9,4911.35
1,639,56,Yes,104.55,5794.65
0,640,10,Yes,85.25,855.3
0,641,68,Yes,25.4,1620.2
0,642,43,Yes,56.15,2499.3
0,643,1,Yes,89.55,89.55
1,644,49,Yes,89.85,4287.2
0,645,15,Yes,25.25,394.85
1,646,20,Yes,94.55,1899.65
0,647,1,Yes,45.7,45.7
0,648,50,Yes,69.65,3442.15
1,649,2,Yes,89.5,161.5
1,650,24,Yes,70,1732.6
0,651,3,Yes,69.55,222.3
0,652,1,Yes,74.6,74.6
0,653,35,Yes,20.1,655.3
0,654,17,Yes,24.8,475.25
1,655,8,Yes,19.65,164.3
0,656,10,Yes,95.1,865.1
0,657,68,Yes,88.85,6132.7
0,658,45,Yes,78.8,3597.5
0,659,2,Yes,19.85,35.9
0,660,37,Yes,20.35,697.65
0,661,4,No,24.25,96.05
0,662,10,Yes,45.25,428.7
0,663,1,Yes,20.05,20.05
0,664,65,Yes,69.55,4459.15
0,665,57,Yes,19.5,1167.6
0,666,3,Yes,74.75,238.1
0,667,2,Yes,69.65,145.15
0,668,49,No,30.2,1453.1
0,669,4,Yes,45.65,191.05
0,670,70,No,57.8,4039.3
0,671,53,Yes,19.85,1039.45
0,672,53,Yes,25.55,1336.1
0,673,1,Yes,75.05,75.05
0,674,22,Yes,24.85,493.4
1,675,52,No,49.15,2550.9
1,676,65,Yes,110.35,7246.15
0,677,48,Yes,24.55,1203.95
0,678,2,No,34.7,62.25
0,679,3,Yes,107.95,313.6
0,680,45,Yes,81.4,3775.85
0,681,1,Yes,80,80
0,682,61,Yes,73.8,4616.05
0,683,3,Yes,64.4,195.65
1,684,40,Yes,103.75,4188.4
0,685,1,Yes,71.1,71.1
0,686,1,Yes,49.9,49.9
0,687,51,Yes,24.6,1266.4
1,688,2,Yes,49.25,91.1
0,689,52,No,30.1,1623.4
0,690,51,Yes,83.4,4149.45
0,691,1,Yes,20.45,20.45
0,692,31,Yes,75.25,2344.5
0,693,47,Yes,20.55,1013.05
0,694,3,Yes,75.1,270.7
1,695,22,Yes,20.05,417
0,696,1,Yes,20.65,20.65
0,697,72,Yes,85.15,6316.2
0,698,3,Yes,50.15,168.15
1,699,47,Yes,84.95,4018.05
0,700,72,Yes,66.5,4811.6
0,701,66,Yes,63.3,4189.7
0,702,35,Yes,83.15,2848.45
0,703,29,Yes,84.9,2516.2
0,704,2,Yes,20.55,33.6
0,705,4,Yes,49.25,208.45
0,706,25,Yes,79.85,2015.35
0,707,65,Yes,59.6,3739.8
1,708,27,Yes,104.65,2964
0,709,29,Yes,75.3,2263.4
0,710,29,Yes,80.1,2211.8
0,711,1,Yes,19.55,19.55
0,712,20,Yes,81,1683.7
0,713,58,Yes,24.7,1519
0,714,14,Yes,86,1164.05
0,715,72,Yes,25.4,1710.9
0,716,46,Yes,89.15,4245.55
0,717,71,No,58.25,4145.9
0,718,32,Yes,85.65,2664.3
0,719,26,No,50.35,1277.5
1,720,68,Yes,80.35,5589.3
0,721,2,Yes,20.2,34.75
0,722,61,Yes,20.55,1305.95
0,723,4,Yes,85.95,381.3
0,724,3,Yes,45.35,141.5
1,725,33,Yes,94.5,3105.55
1,726,9,Yes,21.25,204.55
0,727,22,Yes,26.25,605.9
0,728,5,Yes,80.85,356.1
1,729,30,Yes,91.7,2758.15
0,730,65,Yes,74.2,4805.65
0,731,45,Yes,87.25,3941.7
0,732,5,Yes,20.35,92.75
0,733,25,Yes,75.5,1901.05
0,734,72,Yes,79.05,5730.7
0,735,27,Yes,90.15,2423.4
0,736,32,No,50.6,1653.45
0,737,30,Yes,110.45,3327.05
0,738,70,Yes,101,7085.5
1,739,42,Yes,79.35,3344.1
1,740,72,Yes,89.85,6697.35
0,741,47,Yes,65,2879.9
0,742,2,Yes,80.45,137.1
0,743,10,Yes,98.55,1008.55
0,744,61,Yes,24.1,1551.6
0,745,5,Yes,44.05,202.15
1,746,72,Yes,110.8,7882.25
1,747,72,Yes,114.95,8196.4
1,748,3,Yes,75.05,202.9
0,749,48,Yes,19.25,855.1
0,750,63,Yes,90.05,5817
0,751,27,Yes,56.7,1652.95
0,752,70,Yes,80.15,5600.15
0,753,7,Yes,71.35,515.75
0,754,2,Yes,90.35,190.5
1,755,20,Yes,98.55,1842.8
0,756,66,Yes,19.7,1253.8
0,757,3,Yes,19.85,57.2
0,758,15,Yes,85.9,1269.55
0,759,72,Yes,90.35,6563.4
0,760,1,Yes,20.8,20.8
0,761,22,Yes,89.25,1907.85
0,762,3,Yes,70.3,208.85
0,763,72,Yes,66.85,4758.8
0,764,65,Yes,19.9,1292.6
0,765,11,No,35.8,363.15
